RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
20,"Rudy Gobert, UTAH",81,33.9,.681,9.0,13.6,15.6,13.6,29.5,21.8,23.31,520.5,17.4
21,"John Wall, WSH",78,36.4,.541,29.5,11.4,31.7,2.4,10.6,6.5,23.28,519.7,17.3
22,"Mike Conley, MEM",69,33.2,.604,24.6,8.9,26.8,1.5,10.8,6.0,23.26,419.3,14.0
23,"Kyrie Irving, CLE",72,35.1,.580,19.3,8.3,29.9,2.3,7.5,5.0,23.09,455.6,15.2
24,"Kyle Lowry, TOR",60,37.4,.623,25.0,10.4,25.2,2.4,12.0,7.2,22.92,399.1,13.3
25,"Blake Griffin, LAC",61,34.0,.569,18.8,8.9,27.1,6.2,20.2,13.4,22.71,347.3,11.6
26,"Hassan Whiteside, MIA",77,32.6,.579,4.2,11.5,21.0,12.8,35.3,24.0,22.68,453.2,15.1
27,"Gordon Hayward, UTAH",73,34.5,.595,14.5,8.1,26.3,2.3,15.4,9.0,22.23,440.6,14.7
28,"DeAndre Jordan, LAC",81,31.7,.673,9.8,11.8,14.3,13.3,34.6,24.2,21.84,431.2,14.4
29,"Clint Capela, HOU",65,23.9,.638,8.0,11.0,18.6,12.5,24.5,18.5,21.48,251.8,8.4
30,"Lou Williams, HOU/LAL",81,24.6,.593,15.0,10.0,24.3,1.4,9.9,5.5,21.44,325.5,10.8
31,"Kemba Walker, CHA",79,34.7,.569,19.6,7.6,28.3,1.8,10.6,6.2,21.41,425.4,14.2
32,"Greg Monroe, MIL",81,22.5,.573,16.2,12.1,23.1,10.8,23.1,17.0,21.23,289.3,9.6
33,"Kevin Love, CLE",60,31.4,.573,9.4,9.9,24.6,8.9,29.3,19.5,21.18,272.4,9.1
34,"Andre Drummond, DET",81,29.7,.518,6.9,11.6,21.1,15.1,36.2,25.2,20.91,370.8,12.4
35,"Dwight Howard, ATL",74,29.7,.627,9.7,15.8,18.1,15.0,31.7,23.5,20.89,337.8,11.3
36,"Kyle O'Quinn, NY",79,15.6,.552,18.2,11.8,18.4,13.7,24.8,19.2,20.59,183.2,6.1
37,"Eric Bledsoe, PHX",66,33.0,.563,22.3,11.9,28.2,2.5,13.8,8.0,20.56,310.5,10.3
38,"Brook Lopez, BKN",75,29.6,.578,10.4,10.9,27.0,5.8,13.3,9.6,20.48,327.7,10.9
39,"Nerlens Noel, DAL/PHI",51,20.5,.622,10.9,11.1,16.0,9.8,22.2,15.8,20.40,139.1,4.6
40,"Kenneth Faried, DEN",61,21.2,.588,9.0,9.6,17.4,15.8,23.6,19.7,20.36,171.3,5.7
41,"Marc Gasol, MEM",74,34.2,.554,18.7,9.2,26.1,2.6,18.7,10.5,20.32,367.1,12.2
42,"Paul George, IND",75,35.9,.587,12.7,11.1,27.2,2.5,17.9,10.3,20.30,393.4,13.1
43,"Pau Gasol, SA",64,25.4,.578,16.4,8.8,20.5,7.6,26.8,17.4,20.23,233.8,7.8
44,"Bradley Beal, WSH",77,34.9,.604,14.1,8.2,25.4,2.2,7.8,5.0,20.21,388.9,13.0
45,"Jonas Valanciunas, TOR",80,25.8,.601,5.9,11.0,18.2,12.4,29.1,20.8,20.13,293.8,9.8
46,"CJ McCollum, POR",80,35.0,.585,14.1,8.5,26.2,2.4,9.1,5.7,19.99,395.9,13.2
47,"Goran Dragic, MIA",73,33.7,.575,22.0,11.0,27.0,2.8,9.9,6.3,19.84,324.3,10.8
48,"Brandon Bass, LAC",52,11.1,.650,7.6,10.6,18.2,8.6,16.2,12.5,19.71,70.7,2.4
49,"Alan Williams, PHX",47,15.1,.547,6.1,9.8,19.6,14.0,31.2,22.4,19.59,85.4,2.8
50,"George Hill, UTAH",49,31.5,.599,20.8,8.7,23.1,1.8,10.5,6.2,19.38,193.0,6.4
51,"Jeremy Lin, BKN",36,24.5,.566,25.1,11.7,26.3,1.3,14.7,8.1,19.33,109.8,3.7
52,"Jeff Teague, IND",82,32.4,.574,32.8,11.1,23.0,1.4,12.4,7.0,19.24,326.6,10.9
53,"Montrezl Harrell, HOU",58,18.3,.662,12.6,8.7,16.8,8.3,14.2,11.2,19.23,122.8,4.1
54,"Nikola Vucevic, ORL",75,28.8,.498,14.6,8.2,23.7,8.6,31.3,19.6,19.19,277.3,9.2
55,"Jabari Parker, MIL",51,33.9,.563,12.4,8.1,24.8,5.4,15.7,10.6,19.15,197.2,6.6
56,"Willy Hernangomez, NY",72,18.4,.564,13.4,14.0,19.7,13.8,27.1,20.4,19.00,166.0,5.5
57,"Al Jefferson, IND",66,14.1,.526,9.5,5.5,24.2,9.2,24.2,16.8,18.96,116.2,3.9
58,"Nene , HOU",67,17.9,.630,10.5,11.7,18.6,8.6,17.0,12.8,18.91,148.7,5.0
59,"LaMarcus Aldridge, SA",72,32.4,.532,9.9,7.0,23.0,8.5,16.6,12.7,18.66,249.4,8.3
60,"Richaun Holmes, PHI",57,20.9,.611,10.2,9.6,17.4,8.7,20.1,14.4,18.61,126.6,4.2
61,"Zach Randolph, MEM",73,24.5,.490,9.6,7.8,27.7,11.3,27.4,19.2,18.58,188.6,6.3
62,"Dwyane Wade, CHI",60,29.9,.508,15.8,9.6,29.2,3.8,12.6,8.1,18.55,215.2,7.2
63,"Myles Turner, IND",81,31.4,.585,8.7,8.7,18.1,6.2,19.6,13.0,18.51,300.1,10.0
64,"David Lee, SA",79,18.7,.613,18.2,12.2,16.4,11.7,21.9,16.9,18.48,154.0,5.1
65,"Mason Plumlee, DEN/POR",81,26.5,.558,24.2,11.4,17.6,8.8,22.4,15.6,18.18,242.9,8.1
66,"Carmelo Anthony, NY",74,34.3,.535,11.1,8.0,28.0,2.6,16.0,9.3,17.96,282.6,9.4
67,"Rudy Gay, SAC",30,33.8,.559,12.6,11.2,24.3,4.0,17.5,10.8,17.95,112.7,3.8
68,"Paul Millsap, ATL",69,34.0,.542,16.2,10.1,23.5,5.3,19.5,12.5,17.91,224.1,7.5
,"Michael Beasley, MIL",56,16.7,.584,9.3,11.6,23.4,5.0,18.9,12.0,17.91,103.4,3.4
70,"Al Horford, BOS",68,32.3,.553,25.7,8.8,19.7,4.9,18.6,11.8,17.77,234.7,7.8
71,"Dwight Powell, DAL",77,17.3,.588,9.4,6.5,15.4,7.7,19.5,13.3,17.66,122.5,4.1
72,"Marreese Speights, LAC",82,15.7,.584,8.9,9.3,21.9,7.9,24.1,16.2,17.62,134.7,4.5
73,"Jusuf Nurkic, DEN/POR",65,21.4,.528,13.8,16.0,21.8,12.3,24.8,18.6,17.57,144.7,4.8
74,"Klay Thompson, GS",78,34.0,.592,9.1,7.3,24.1,2.2,9.2,5.9,17.53,278.0,9.3
75,"Kristaps Porzingis, NY",66,32.8,.546,7.4,9.0,23.1,5.5,18.2,11.8,17.49,193.3,6.4
76,"Danilo Gallinari, DEN",63,33.9,.622,11.9,7.2,19.2,2.0,14.7,8.4,17.41,220.2,7.3
77,"Thomas Robinson, LAL",48,11.7,.535,10.3,15.2,19.7,15.8,28.1,21.8,17.38,49.1,1.6
78,"Otto Porter Jr., WSH",80,32.6,.628,11.9,4.3,14.3,5.1,17.1,11.1,17.35,266.3,8.9
79,"J.J. Barea, DAL",35,22.0,.521,31.1,10.1,26.8,1.3,11.9,6.3,17.26,72.0,2.4
80,"Elfrid Payton, ORL",82,29.4,.520,30.9,10.4,22.5,3.9,13.9,8.7,17.25,225.1,7.5
81,"Jrue Holiday, NO",67,32.7,.532,29.6,11.8,23.8,2.2,10.6,6.4,17.19,202.4,6.7
82,"Willie Reed, MIA",71,14.5,.578,6.8,8.1,14.3,13.7,22.0,17.8,17.14,86.9,2.9
83,"Dirk Nowitzki, DAL",54,26.4,.529,9.5,5.9,23.7,1.8,28.3,14.4,17.10,118.9,4.0
84,"Jeremy Lamb, CHA",62,18.4,.550,11.2,6.0,21.6,2.9,22.7,12.7,17.09,112.3,3.7
85,"Derrick Rose, NY",64,32.5,.530,18.6,9.7,25.6,3.4,9.3,6.4,17.05,188.0,6.3
86,"James Johnson, MIA",76,27.4,.565,21.1,13.0,21.9,3.5,16.6,10.0,17.03,171.9,5.7
87,"Ivica Zubac, LAL",38,16.0,.547,9.4,9.4,19.3,7.1,21.9,14.3,17.02,58.4,1.9
88,"Tobias Harris, DET",82,31.3,.568,10.1,6.9,20.7,2.6,15.6,8.8,16.95,247.0,8.2
89,"Skal Labissiere, SAC",33,18.5,.577,8.6,11.8,19.7,9.7,20.7,15.3,16.91,49.4,1.6
90,"Ricky Rubio, MIN",75,32.9,.539,41.3,11.8,19.7,3.2,11.4,7.2,16.87,216.1,7.2
91,"Cody Zeller, CHA",62,27.8,.604,14.3,9.4,14.7,8.6,17.3,12.9,16.70,157.1,5.2
92,"Tyson Chandler, PHX",47,27.6,.703,7.9,17.2,10.6,12.5,33.2,22.6,16.63,116.7,3.9
93,"Andrew Wiggins, MIN",82,37.2,.534,8.7,8.6,27.5,3.8,8.8,6.3,16.62,278.2,9.3
94,"David West, GS",68,12.6,.571,29.8,15.6,18.4,6.5,18.8,13.0,16.57,64.7,2.2
95,"Gary Harris, DEN",57,31.3,.611,17.5,8.1,18.2,3.0,8.0,5.5,16.52,160.1,5.3
96,"Steven Adams, OKC",80,29.9,.589,8.6,14.6,15.5,13.0,15.4,14.2,16.51,210.7,7.0
,"Draymond Green, GS",76,32.5,.522,36.5,12.6,17.3,4.7,20.9,13.3,16.51,184.7,6.2
98,"Serge Ibaka, ORL/TOR",79,30.7,.566,6.2,8.6,19.3,5.8,19.0,12.2,16.46,179.4,6.0
99,"Willie Cauley-Stein, SAC",75,18.9,.558,11.5,9.9,18.4,7.0,20.4,13.7,16.37,122.4,4.1
100,"Harrison Barnes, DAL",79,35.5,.541,7.2,6.3,23.1,3.7,13.1,8.2,16.34,244.3,8.1
101,"Julius Randle, LAL",74,28.8,.543,19.8,13.0,21.3,7.5,25.8,16.3,16.32,153.2,5.1
102,"Beno Udrih, DET",39,14.4,.535,34.6,9.5,21.2,1.1,10.3,5.6,16.20,43.5,1.4
103,"Dennis Schroder, ATL",79,31.5,.533,24.0,12.4,27.9,1.9,9.0,5.5,16.18,192.0,6.4
104,"Terrence Jones, NO/MIL",54,23.5,.515,8.8,7.1,19.7,5.4,20.1,12.7,16.17,0.0,0.0
105,"Zaza Pachulia, GS",70,18.1,.588,22.7,15.0,15.0,12.9,22.0,17.7,16.14,104.8,3.5
106,"Dewayne Dedmon, SA",76,17.5,.645,10.9,15.1,11.6,11.2,30.6,21.1,16.00,107.1,3.6
107,"Tyler Johnson, MIA",73,29.8,.535,18.5,7.2,20.5,2.5,12.5,7.4,15.94,176.6,5.9
108,"Derrick Favors, UTAH",50,23.7,.512,9.6,10.3,19.3,9.2,20.2,14.9,15.88,77.5,2.6
109,"Nicolas Batum, CHA",77,34.0,.529,26.1,11.1,22.3,1.9,18.4,10.1,15.86,209.4,7.0
110,"Larry Nance Jr., LAL",63,22.9,.567,17.5,10.2,13.2,8.8,19.6,14.0,15.76,91.7,3.1
111,"Channing Frye, CLE",74,18.9,.612,6.9,8.1,17.8,3.0,19.3,11.4,15.72,88.1,2.9
112,"Trevor Booker, BKN",71,24.7,.554,15.3,14.0,17.7,8.7,25.5,17.2,15.71,110.2,3.7
113,"Spencer Hawes, MIL/CHA",54,14.8,.562,18.8,11.4,19.6,5.3,21.4,13.3,15.69,49.8,1.7
114,"T.J. Warren, PHX",66,31.0,.539,7.4,5.6,18.1,6.5,11.7,9.0,15.64,157.1,5.2
115,"Will Barton, DEN",60,28.4,.547,19.6,9.2,21.1,3.8,12.9,8.4,15.55,128.6,4.3
116,"Tyreke Evans, NO/SAC",40,19.7,.501,20.8,10.2,26.8,1.8,17.2,9.5,15.53,59.2,2.0
117,"Seth Curry, DAL",70,29.0,.601,18.3,9.0,18.6,1.4,9.3,5.1,15.52,152.0,5.1
118,"Lucas Nogueira, TOR",57,19.1,.682,15.4,16.8,9.2,8.5,16.8,12.7,15.51,79.7,2.7
119,"Marcin Gortat, WSH",82,31.2,.593,12.3,12.1,14.0,10.6,26.8,18.7,15.48,186.1,6.2
120,"Ty Lawson, SAC",69,25.1,.551,30.9,11.9,20.2,3.0,9.0,6.0,15.42,114.2,3.8
121,"Darren Collison, SAC",68,30.3,.570,25.7,9.4,19.9,1.3,7.1,4.3,15.37,134.5,4.5
122,"D'Angelo Russell, LAL",63,28.7,.518,21.2,12.3,26.5,1.8,11.9,6.7,15.36,117.9,3.9
123,"John Henson, MIL",58,19.4,.550,12.3,11.2,15.5,9.7,20.8,15.3,15.35,79.5,2.7
124,"Cristiano Felicio, CHI",66,15.8,.603,11.9,9.9,12.0,12.8,19.5,16.1,15.34,59.7,2.0
125,"Kelly Olynyk, BOS",75,20.5,.603,18.4,11.9,18.3,5.3,20.7,13.1,15.32,108.4,3.6
,"Tristan Thompson, CLE",78,29.9,.594,11.5,9.5,10.7,13.9,19.6,16.9,15.32,164.4,5.5
127,"Patty Mills, SA",80,21.9,.578,26.9,9.7,19.9,1.6,7.4,4.6,15.28,112.0,3.7
128,"Tim Hardaway Jr., ATL",79,27.3,.568,14.1,8.2,21.5,1.8,9.5,5.7,15.26,152.9,5.1
129,"Joakim Noah, NY",46,22.1,.491,25.9,14.6,13.0,17.1,25.7,21.4,15.25,70.5,2.3
130,"Tarik Black, LAL",67,16.3,.562,8.9,13.2,14.8,13.8,20.7,17.1,15.09,73.2,2.4
131,"Khris Middleton, MIL",29,30.7,.570,18.4,12.1,21.7,1.5,14.4,8.0,15.07,60.7,2.0
,"Taj Gibson, CHI/OKC",78,25.5,.543,7.6,11.0,18.3,8.6,18.0,13.2,15.07,105.9,3.5
133,"Alex Len, PHX",77,20.3,.553,6.3,14.6,16.5,10.6,25.3,17.8,15.04,103.3,3.4
134,"Amir Johnson, BOS",80,20.1,.628,22.2,12.2,13.3,8.3,17.0,12.7,15.03,84.7,2.8
135,"Shabazz Muhammad, MIN",78,19.4,.566,4.5,7.2,20.1,6.4,10.6,8.5,15.00,101.9,3.4
,"Wilson Chandler, DEN",71,30.9,.545,11.0,8.9,21.2,5.2,17.8,11.6,15.00,147.4,4.9
137,"Jae Crowder, BOS",72,32.4,.613,14.8,7.6,16.1,2.3,17.3,9.9,14.99,156.5,5.2
,"Bobby Portis, CHI",64,15.6,.545,7.4,7.8,18.2,8.0,24.0,15.9,14.99,52.1,1.7
139,"Thaddeus Young, IND",74,30.2,.562,13.0,10.1,15.5,6.7,15.7,11.2,14.96,115.7,3.9
140,"Reggie Jackson, DET",52,27.4,.510,24.1,10.2,26.9,1.6,7.4,4.4,14.94,83.7,2.8
141,"Malcolm Brogdon, MIL",75,26.4,.555,28.3,10.1,18.7,2.8,9.6,6.3,14.90,130.3,4.3
142,"Jahlil Okafor, PHI",50,22.7,.546,8.4,13.2,22.5,7.9,15.5,11.7,14.88,72.5,2.4
143,"JJ Redick, LAC",78,28.2,.599,9.3,8.3,20.4,0.6,7.9,4.4,14.87,143.3,4.8
144,"Salah Mejri, DAL",73,12.4,.650,6.4,18.4,9.7,11.9,28.4,19.8,14.86,57.5,1.9
145,"Ish Smith, DET",81,24.1,.477,31.6,8.5,21.7,1.1,12.4,6.6,14.79,110.5,3.7
146,"Zach LaVine, MIN",47,37.2,.576,14.0,8.5,21.0,1.2,9.5,5.3,14.69,96.4,3.2
147,"Ersan Ilyasova, ATL/PHI/OKC",82,26.1,.546,11.3,9.3,18.8,0.0,0.0,0.0,14.65,100.8,3.4
148,"Devin Booker, PHX",78,35.0,.531,12.6,11.3,27.5,1.8,8.3,5.0,14.64,168.9,5.6
149,"Dion Waiters, MIA",46,30.1,.507,19.6,10.1,26.0,1.4,10.9,6.1,14.61,84.8,2.8
150,"Nikola Mirotic, CHI",70,24.0,.546,9.0,9.6,18.9,3.9,20.9,12.3,14.54,76.1,2.5
151,"Avery Bradley, BOS",55,33.4,.548,11.9,8.6,20.5,4.0,16.2,10.1,14.52,110.0,3.7
,"Aaron Gordon, ORL",80,28.7,.530,12.5,7.4,19.1,5.3,14.1,9.6,14.52,103.4,3.4
153,"Robin Lopez, CHI",81,28.0,.511,8.1,9.2,16.7,11.5,13.2,12.3,14.47,131.0,4.4
,"Kevin Seraphin, IND",49,11.4,.559,8.9,11.2,17.6,8.3,20.0,14.3,14.47,32.3,1.1
155,"Mike Muscala, ATL",70,17.7,.596,18.4,10.8,14.5,6.9,14.3,10.6,14.43,54.2,1.8
156,"Andre Iguodala, GS",76,26.3,.624,33.5,7.4,11.7,3.0,13.1,8.3,14.37,115.3,3.8
157,"Michael Kidd-Gilchrist, CHA",81,29.0,.528,13.1,6.4,13.7,7.3,19.3,13.2,14.30,133.1,4.4
158,"Jon Leuer, DET",75,25.9,.551,12.7,7.6,16.7,5.5,17.5,11.3,14.21,78.7,2.6
159,"Gorgui Dieng, MIN",82,32.4,.555,15.8,10.7,13.7,8.1,20.5,14.2,14.19,106.4,3.5
160,"Ian Mahinmi, WSH",31,17.9,.601,9.6,17.3,13.2,9.6,20.8,15.2,14.15,29.4,1.0
161,"Nick Young, LAL",60,25.9,.588,7.6,4.7,18.3,1.7,8.2,4.8,14.12,84.0,2.8
162,"Norman Powell, TOR",76,18.0,.552,11.3,9.6,20.0,2.2,11.8,7.0,14.09,73.2,2.4
163,"Thon Maker, MIL",57,9.9,.558,9.5,7.0,16.5,8.4,15.2,11.8,14.08,21.6,0.7
164,"Deron Williams, CLE/DAL",64,25.9,.541,31.4,12.0,18.7,0.9,9.4,5.1,14.02,74.7,2.5
165,"Evan Fournier, ORL",68,32.9,.555,14.5,10.1,22.5,2.1,8.3,5.1,13.99,116.4,3.9
166,"Justin Anderson, DAL/PHI",75,16.4,.538,10.5,10.5,21.6,6.2,16.7,11.3,13.96,63.4,2.1
167,"Manu Ginobili, SA",69,18.7,.532,23.9,12.5,20.4,2.5,11.1,6.9,13.94,66.4,2.2
168,"Tyus Jones, MIN",60,12.9,.523,39.6,9.6,15.2,1.5,8.7,5.0,13.86,33.0,1.1
169,"Devin Harris, DAL",65,16.7,.549,23.0,9.6,19.3,1.1,13.0,6.8,13.84,46.1,1.5
170,"Kosta Koufos, SAC",71,20.0,.560,8.9,11.6,14.2,9.7,23.0,16.4,13.82,68.2,2.3
171,"C.J. Miles, IND",76,23.4,.592,6.2,5.3,16.9,1.9,12.4,7.2,13.77,86.7,2.9
172,"Markieff Morris, WSH",76,31.2,.540,10.2,10.4,19.3,5.1,18.2,11.7,13.75,79.6,2.7
173,"Marvin Williams, CHA",76,30.2,.551,11.3,6.4,15.2,4.2,19.8,12.0,13.74,76.6,2.6
174,"T.J. McConnell, PHI",81,26.3,.504,42.9,12.8,16.3,2.0,11.0,6.5,13.73,86.8,2.9
175,"Rondae Hollis-Jefferson, BKN",78,22.6,.517,16.7,12.6,17.8,5.8,21.1,13.6,13.71,84.4,2.8
176,"Kris Humphries, ATL",56,12.3,.514,9.4,9.1,16.5,9.7,23.0,16.4,13.65,22.1,0.7
177,"Victor Oladipo, OKC",67,33.2,.534,13.6,9.2,20.8,1.9,12.6,7.2,13.62,103.5,3.4
178,"Justin Hamilton, BKN",64,18.4,.550,11.0,8.6,15.0,6.5,17.0,11.8,13.61,52.9,1.8
,"Jason Smith, WSH",74,14.4,.598,8.3,13.0,15.6,6.8,20.4,13.6,13.61,33.6,1.1
,"Shabazz Napier, POR",53,9.7,.533,21.4,13.1,20.9,1.7,11.5,6.6,13.61,19.9,0.7
181,"Rajon Rondo, CHI",69,26.7,.461,38.0,13.9,19.9,4.2,16.6,10.4,13.59,71.2,2.4
182,"Roy Hibbert, DEN/CHA",48,14.2,.614,9.0,13.7,15.4,8.7,15.9,12.3,13.58,30.3,1.0
183,"Bojan Bogdanovic, BKN/WSH",81,25.7,.585,9.3,11.0,20.8,1.9,12.3,7.2,13.56,95.2,3.2
,"JaMychal Green, MEM",77,27.3,.602,11.2,12.5,13.8,8.8,21.1,14.8,13.56,64.4,2.1
185,"Ryan Anderson, HOU",72,29.4,.583,7.1,5.7,16.7,5.8,11.2,8.5,13.53,64.2,2.1
186,"Terrence Ross, ORL/TOR",78,25.1,.550,9.4,7.3,17.5,1.0,10.8,5.9,13.46,86.5,2.9
187,"Juan Hernangomez, DEN",62,13.6,.592,9.1,9.8,13.9,5.7,18.7,12.3,13.41,24.0,0.8
188,"Marco Belinelli, CHA",74,24.0,.566,16.2,7.7,18.3,0.9,10.2,5.5,13.40,76.9,2.6
189,"Tony Allen, MEM",71,27.0,.493,11.5,11.8,17.1,9.7,13.8,11.7,13.33,80.9,2.7
190,"Robert Covington, PHI",67,31.6,.534,9.8,12.6,18.0,4.8,17.9,11.3,13.27,87.6,2.9
191,"Jordan Clarkson, LAL",82,29.2,.526,14.0,10.8,22.6,2.2,9.3,5.6,13.23,79.7,2.7
192,"Cory Joseph, TOR",80,25.0,.518,24.4,9.9,18.5,2.9,10.4,6.6,13.22,66.4,2.2
,"Ian Clark, GS",77,14.8,.575,14.9,9.1,18.5,2.3,9.1,5.9,13.22,46.2,1.5
,"Eric Gordon, HOU",75,31.0,.557,13.4,8.6,21.2,1.4,8.1,4.7,13.22,94.3,3.1
195,"Jerian Grant, CHI",63,16.3,.555,24.3,8.8,16.4,1.8,9.9,5.8,13.21,33.9,1.1
196,"Maurice Harkless, POR",77,28.9,.570,10.3,10.1,14.2,6.2,10.8,8.5,13.16,88.2,2.9
,"Sean Kilpatrick, BKN",70,25.1,.546,13.9,11.9,22.4,1.3,15.4,8.4,13.16,69.5,2.3
198,"Jodie Meeks, ORL",36,20.5,.567,12.2,9.7,18.3,0.7,10.9,5.7,13.15,29.2,1.0
,"Yogi Ferrell, DAL/BKN",46,26.0,.533,25.5,10.4,19.4,1.8,9.1,5.3,13.15,38.4,1.3
200,"Frank Kaminsky, CHA",75,26.1,.502,14.6,6.9,20.7,3.2,15.9,9.5,13.12,73.3,2.4
201,"Aron Baynes, DET",75,15.5,.570,8.0,12.4,13.3,10.0,21.6,15.6,13.11,43.5,1.5
202,"Tony Parker, SA",63,25.2,.514,28.7,8.9,20.8,0.7,7.3,4.0,13.10,49.8,1.7
203,"Sam Dekker, HOU",77,18.4,.549,13.2,7.1,14.3,7.2,14.6,10.9,13.09,54.9,1.8
204,"Patrick Beverley, HOU",67,30.7,.546,29.1,10.4,14.6,5.0,15.8,10.4,13.06,63.3,2.1
205,"Tyler Ulis, PHX",61,18.4,.474,29.3,10.0,21.2,1.9,7.5,4.6,13.05,34.3,1.1
206,"Tyler Zeller, BOS",51,10.3,.508,17.7,8.4,15.8,9.2,17.0,13.2,13.04,19.1,0.6
207,"Davis Bertans, SA",67,12.1,.609,14.1,9.8,15.0,3.2,10.4,6.9,12.94,29.5,1.0
208,"Alexis Ajinca, NO",39,15.0,.529,5.0,13.0,15.6,8.3,23.8,16.0,12.91,20.2,0.7
209,"Kentavious Caldwell-Pope, DET",76,33.3,.519,15.0,6.7,18.7,2.3,8.7,5.3,12.90,90.4,3.0
210,"Darrell Arthur, DEN",41,15.6,.583,13.9,11.9,16.9,4.4,14.9,9.7,12.89,13.2,0.4
211,"Dario Saric, PHI",81,26.3,.508,13.1,13.2,23.3,5.8,20.8,13.3,12.84,42.5,1.4
212,"Joe Johnson, UTAH",78,23.6,.542,16.5,7.9,17.8,2.1,12.8,7.6,12.82,63.9,2.1
213,"Spencer Dinwiddie, BKN",59,22.6,.581,29.7,10.6,14.3,2.2,10.7,6.5,12.72,34.2,1.1
214,"Justin Holiday, NY",82,20.0,.549,13.8,8.9,16.5,1.8,13.1,7.4,12.71,54.0,1.8
215,"Cole Aldrich, MIN",62,8.6,.549,18.2,12.3,9.3,11.0,23.9,17.4,12.69,16.6,0.6
216,"Wayne Ellington, MIA",62,24.2,.565,10.4,4.5,16.9,1.3,8.5,4.9,12.68,48.7,1.6
217,"Joffrey Lauvergne, CHI/OKC",70,14.0,.509,14.2,11.3,20.3,8.1,20.2,14.1,12.63,29.7,1.0
218,"Kyle Anderson, SA",72,14.2,.525,25.2,10.7,12.2,3.7,19.0,11.5,12.59,31.8,1.1
219,"Marcus Morris Sr., DET",79,32.5,.508,12.0,6.5,19.5,3.2,12.8,7.8,12.47,37.2,1.2
,"Rodney Hood, UTAH",59,27.0,.522,10.9,7.4,21.5,1.2,13.1,7.3,12.47,46.8,1.6
221,"Mindaugas Kuzminskas, NY",68,14.9,.534,13.3,9.8,18.6,5.0,8.4,6.7,12.45,29.6,1.0
222,"Joe Ingles, UTAH",82,24.0,.604,27.7,13.2,14.2,1.4,13.6,7.6,12.44,57.1,1.9
223,"Brandon Knight, PHX",54,21.1,.502,16.0,10.9,24.4,2.3,9.1,5.6,12.41,23.9,0.8
224,"Tim Frazier, NO",65,23.5,.504,37.4,11.3,17.4,2.3,9.7,6.0,12.40,31.8,1.1
225,"Trevor Ariza, HOU",80,34.7,.548,15.9,6.6,13.7,2.1,15.9,9.0,12.38,77.9,2.6
,"Marquese Chriss, PHX",82,21.3,.529,6.8,12.3,18.5,5.8,16.1,10.8,12.38,22.8,0.8
227,"Ramon Sessions, CHA",50,16.2,.495,26.3,9.4,20.1,1.5,8.5,4.9,12.34,16.2,0.5
228,"Timofey Mozgov, LAL",54,20.4,.553,9.0,15.1,15.9,9.9,16.4,13.1,12.30,28.0,0.9
229,"Caris LeVert, BKN",57,21.7,.556,18.6,10.0,15.9,2.0,13.9,8.0,12.29,33.0,1.1
